vehicles,app,baseline,metric,n_pairs,n_nonzero,scope_mean,scope_sd,baseline_mean,baseline_sd,mean_improvement,ci95_low,ci95_high,rank_biserial,wilcoxon_W,p_raw,p_holm,significant_holm_005
1600,ALL_APPS,RAIDER_TRAX,service_time_s,10,10,0.532710919341131,0.004203751756988792,0.6088891515621827,0.004909031781963986,0.07617823222105159,0.07500724852093607,0.07753979445332806,1.0,0.0,0.001953125,0.2109375,False
1600,ALL_APPS,RANDOM,failure_rate_pct,10,10,3.720918800438715,0.16569148854505672,33.59288671828948,0.24085822418445835,29.87196791785076,29.802602731733383,29.940527378367314,1.0,0.0,0.001953125,0.2109375,False
1600,ALL_APPS,RANDOM,service_time_s,10,10,0.532710919341131,0.004203751756988792,0.5136665468232342,0.009146687248795807,-0.019044372517896924,-0.022580085480501732,-0.015465538108812321,-1.0,0.0,0.001953125,0.2109375,False
1700,ALL_APPS,EXP3_MC,failure_rate_pct,10,10,7.422171520898502,0.32905568701268145,35.86094039252105,4.224235287295309,28.43876887162255,25.881909048772897,30.855944726953602,1.0,0.0,0.001953125,0.2109375,False
1700,ALL_APPS,EXP3_MC,service_time_s,10,10,0.5590509833781047,0.005189437308515223,0.6437558621599853,0.018771010394312622,0.08470487878188063,0.07360492192331809,0.09731443181654124,1.0,0.0,0.001953125,0.2109375,False
1700,ALL_APPS,RAIDER_TRAX,failure_rate_pct,10,10,7.422171520898502,0.32905568701268145,24.84258741003226,0.8188879547713486,17.420415889133757,17.093981214013535,17.71956599576722,1.0,0.0,0.001953125,0.2109375,False
1700,ALL_APPS,RAIDER_TRAX,service_time_s,10,10,0.5590509833781047,0.005189437308515223,0.6141439153575721,0.006751352096630358,0.055092931979467366,0.05229610135018423,0.057695009714496356,1.0,0.0,0.001953125,0.2109375,False
1700,ALL_APPS,RANDOM,failure_rate_pct,10,10,7.422171520898502,0.32905568701268145,34.140761678938745,0.06783437658933629,26.718590158040247,26.5437343302181,26.891288208206504,1.0,0.0,0.001953125,0.2109375,False
1700,ALL_APPS,RANDOM,service_time_s,10,10,0.5590509833781047,0.005189437308515223,0.5133444245304194,0.008584713529516163,-0.04570655884768517,-0.049494877444089744,-0.041996883799199095,-1.0,0.0,0.001953125,0.2109375,False
1800,ALL_APPS,EXP3_MC,failure_rate_pct,10,10,14.312003190413552,0.7179218613097215,37.57949171490692,3.9573631518551244,23.26748852449337,20.637061277919944,25.704565832156838,1.0,0.0,0.001953125,0.2109375,False
1800,ALL_APPS,EXP3_MC,service_time_s,10,10,0.6069573231200515,0.006504819233536239,0.6364652432078232,0.018328879193739017,0.02950792008777172,0.018168830239050884,0.04266204745259516,1.0,0.0,0.001953125,0.2109375,False
1800,ALL_APPS,RAIDER_TRAX,failure_rate_pct,10,10,14.312003190413552,0.7179218613097215,28.693879561758386,0.41432906393310037,14.381876371344841,14.18166432483233,14.594779610942568,1.0,0.0,0.001953125,0.2109375,False
1800,ALL_APPS,RAIDER_TRAX,service_time_s,10,10,0.6069573231200515,0.006504819233536239,0.6109490613833917,0.004796383267670487,0.0039917382633401725,0.0002572958031506103,0.00797308880600528,0.45454545454545453,15.0,0.232421875,1.0,False
1800,ALL_APPS,RANDOM,failure_rate_pct,10,10,14.312003190413552,0.7179218613097215,34.294839153096845,0.04727418603891596,19.982835962683293,19.567129060344364,20.41351072206996,1.0,0.0,0.001953125,0.2109375,False
1800,ALL_APPS,RANDOM,service_time_s,10,10,0.6069573231200515,0.006504819233536239,0.517105518328802,0.008683191036791035,-0.08985180479124946,-0.09506656750406908,-0.08424312584147932,-1.0,0.0,0.001953125,0.2109375,False
